* PE code,,,,
* C Part, (optional),,,
*     blank = SHEF PE code,,,,
* Data Unit (required),,,,
* Data Type (required),,,,
*     * = infer data type from SHEF parameter,,,,
* Conversion (optional),,,,
*     number = numerical factor,,,,
*     hm2h = hhmm->decimal h,,,,
*     dur2h = MW<duration> -> MWh for (VK VL VM VR),,,,
*********************************************************,,,,
*PE Code,C Part,Data Unit,Data Type,Conversion
AD,,,,
AF,Code-Surface Frost,n/a,*,
AG,%-Green Vegetation,%,*,
AM,Code-Surface Dew,n/a,*,
AT,Timing-Below 25F,hr,*,hm2h
AU,Timing-Below 32F,hr,*,hm2h
AW,Timing-Leaf Wetness,hr,*,hm2h

BA,Depth-Water Equiv Solid,in,*,
BB,Depth-Heat Deficit,in,*,
BC,Depth-Liquid Water Stor,in,*,
BD,Temp-Index,F,*,
BE,Depth-Max Water Equiv,in,*,
BF,Depth-Areal Water Equiv,in,*,
BG,%-Snow Cover-Depl Curve,%,*,
BH,Depth-Water Equiv Limit,in,*,
BI,Depth-Excess Liq Wtr Stor,in,*,
BJ,Depth-Areal Snow Cov Adj,in,*,
BK,Depth-Lag Exc Wtr Intv 1,in,*,
BL,Depth-Lag Exc Wtr Intv 2,in,*,
BM,Depth-Lag Exc Wtr Intv 3,in,*,
BN,Depth-Lag Exc Wtr Intv 4,in,*,
BO,Depth-Lag Exc Wtr Intv 5,in,*,
BP,Depth-Lag Exc Wtr Intv 6,in,*,
BQ,Depth-Lag Exc Wtr Intv 7,in,*,

CA,Depth-Upr Zone Tens Wtr,in,*,
CB,Depth-Upr Zone Free Wtr,in,*,
CC,Depth-Lwr Zone Tens Wtr,in,*,
CD,Depth-Sup Lwr Zone Fr Wtr,in,*,
CE,Depth-Pri Lwr Zone Fr Wtr,in,*,
CF,Depth-Addl Imperv Area,in,*,
CG,Depth-Ante Precip Indx,in,*,
CH,Depth-Soil Moist Indx Def,in,*,
CI,Depth-Base Flow Stor,in,*,
CJ,Depth-Base Flow Indx,in,*,
CK,Depth-Ante Evap Indx Q1,in,*,
CL,Temp-Ante Index Quad 1,F,*,
CM,Temp-Frost Index,F,*,
CN,%-Frost Efficiency Idx,%,*,
CO,Code-Quadrant 1 Indx Ind,n/a,*,
CP,Precip-Storm Total,in,*,
CQ,Precip-Storm Total Runoff,in,*,
CR,Depth-Ante Indx-Storm,in,*,
CS,Depth-Ante Indx-Current,in,*,
CT,Count-Storm Period,unit,*,
CU,Temp-Air-Aver,F,*,
CV,Temp-Cur Corrected Synth,F,*,
CW,Depth-Ante Evap Indx-Storm,in,*,
CX,Depth-Ante Evap Indx,in,*,
CY,Depth-Ante Precip Indx,in,*,
CZ,Code-Climate Index,n/a,*,

EA,Depth-ET Potential,in,*,
ED,Depth-Evaopration Pan,in,*,
EM,Depth-ET,in,*,
EP,Depth-Evap-Pan,in,*,
ER,EvapRate,in/day,*,
ET,Depth-ET-Total,in,*,
EV,Depth-Evap-Lake,in,*,

FA,Count-Fish-Shad,unit,*,
FB,Count-Fish-Sockeye,unit,*,
FC,Count-Fish-Chinook,unit,*,
FE,Count-Fish-Cum,unit,*,
FK,Count-Fish-Coho,unit,*,
FL,Code-Fish Ladder,n/a,*,
FP,Count-Fish-Pink,unit,*,
FS,Count-Fish-Steelhead,unit,*,
FT,Code-Fish Type,n/a,*,
FZ,Count-Fish,unit,*,

GC,Code-Road Surface Cond,n/a,*,
GD,Depth-Frost Penetration,in,*,
GL,%-Surface Salt Content,%,*,
GP,Depth-Frost-Pavement,in,*,
GR,Code-Frost Report,n/a,*,
GS,Code-Ground State,n/a,*,
GT,Depth-Frost-Thawed,in,*,
GW,Depth-Frost-Pvmt-Thawed,in,*,

HA,Height,ft,*,
HB,Depth,ft,*,
HC,Height-Ceiling,ft,*,
HD,Height-Head,ft,*,
HE,Height-Regulating Gate,ft,*,
HF,Elev-Forebay-Powerhouse,ft,*,
HG,Stage,ft,*,
HH,Elev,ft,*,
HI,Code-Stage Trend Ind,n/a,*,
HJ,Height-Spillway Gate,ft,*,
HK,Height-Lake,ft,*,
HL,Height-Natural Lake,ft,*,
HM,Height-Tide-MLLW,ft,*,
HO,Stage-Flood,ft,*,
HP,Elev-Pool,ft,*,
HQ,Code-Dist to Edge of Riv,n/a,*,
HR,Elev-Rule Curve,ft,*,
HS,Elev-Forebay-Spillway,ft,*,
HT,Elev-Tailwater,ft,*,
HU,Stage-Caution,ft,*,
HV,Depth-Surface Water,in,*,
HW,Height-Tailwater,ft,*,
HZ,Elev-Freezing Point,ft,*,1000

IC,%-Ice Cover,%,*,
IE,Dist-Ice Extent,mi,*,
IO,Dist-Open Water Extent,ft,*,
IR,Code-Ice Report Type,n/a,*,
IT,Thick-Ice,in,*,

LA,Area-Lake Surface,acre,*,1000
LC,Stor-Lake-Delta,ac-ft,*,1000
LS,Stor-Lake,ac-ft,*,1000

MD,Code-Dielctric Conststant,n/a,*,
MI,Depth-Soil Moisture Index,in,*,
ML,Depth-Lwr Zone Stor Moist,in,*,
MM,%-Fuel Moisture,%,*,
MN,Code-Soil Salinity,n/a,*,
MS,Code-Soil Moisture,n/a,*,
MT,Temp-Fuel,F,*,
MU,Depth-Upr Zone Stor Moist,in,*,
MV,Code-Water Volume,n/a,*,
MW,%-Soil Moisture,%,*,

NC,Code-River Control h,n/a,*,
NG,Opening-Total All Gates,ft,*,
NL,Count-Flash Boards-Large,unit,*,
NN,Code-Spillway Gate,n/a,*,
NO,Code-Gate Opening,n/a,*,
NS,Count-Flash Boards-Small,unit,*,

PA,Pres-Atmospheric,in-hg,*,
PC,Precip,in,*,
PD,Pres-Atmos-3hr Delta,in-hg,*,
PE,Code-Characteristic Pres,n/a,*,
PJ,Precip-Depart From Norm,in,*,
PL,Pres-Sea Level,in-hg,*,
PM,Code-Prob of Meas Precip,n/a,*,
PN,Precip-Normal,in,*,
PP,Precip-Inc,in,*,
PR,PrecipRate,in/day,*,
PT,Code-Precip Type,n/a,*,

QA,Flow-Adjusted,cfs,*,1000
QB,Depth-Runoff,in,*,
QC,Stor-Runoff,ac-ft,*,1000
QD,Flow-Diversion,cfs,*,1000
QE,%-Flow Diversion,%,*,
QF,Speed-Flow,mph,*,
QG,Flow-Generator,cfs,*,1000
QI,Flow-In,cfs,*,1000
QL,Flow-Rule Curve,cfs,*,1000
QM,Flow-Preproject,cfs,*,1000
QP,Flow-Pumn,cfs,*,1000
QR,Flow-River,cfs,*,1000
QS,Flow-Spillway,cfs,*,1000
QT,Flow-Total,cfs,*,1000
QU,Flow-Regulating,cfs,*,1000
QV,Stor-Inc,ac-ft,*,1000

RA,%-Albedo Radiation,%,*,
RI,Rad-Solar Accumulated,langley,*,
RN,Irrad-Net,W/m2,*,
RP,%-Solar Radiation,%,*,
RT,Timing-Solar Rad,hr,*,
RW,Irrad-Total,W/m2,*,

SA,%-Snow Cover-Basin,%,*,
SB,Depth-Blowing Sublimation,in,*,
SD,Depth-Snow,in,*,
SE,Temp-Snow Pack,F,*,
SF,Depth-Snow-Inc,in,*,
SI,Depth-Snow-On Ice,in,*,
SL,Elev-Snow Line,ft,*,1000
SM,Depth-Snow Melt,in,*,
SP,Depth-Snow Melt+Precip,in,*,
SR,Code-Snow Report,n/a,*,
SS,Coeff-Depth of SWE|Snow,n/a,*,
ST,Code-Snow Temp,n/a,*,
SU,Depth-Surface Sublimation,in,*,
SW,Depth-SWE,in,*,

TA,Temp-Air,F,*,
TB,Code-Bare Soil Temp,n/a,*,
TC,Temp-Deg Days-Above 65 F,F,*,
TD,Temp-Dew Point,F,*,
TE,Code-Air Temp,n/a,*,
TF,Temp-Deg Days-Below 32 F,F,*,
TH,Temp-Deg Days-Below 65 F,F,*,
TJ,Temp-Depart From Norm,F,*,
TM,Temp-Air-Wet Bulb,F,*,
TP,Temp-Pan Water,F,*,
TS,Temp-Soil-Surface,F,*,
TV,Code-Vegetated Soil Temp,n/a,*,
TW,Temp-Water,F,*,
TZ,Temp-Freezing-Road Surf,F,*,

UC,Dist-Wind-Cum,mi,*,
UD,Dir-Wind,deg,*,
UE,Dir-Wind-Std Dev,deg,*,
UG,Speed-Wind-Gust,mph,*,
UH,Dir-Wind-Gust,deg,*,0.1
UL,Dist-Wind-Inc,mi,*,
UP,Speed-Wind-Peak,mph,*,
UQ,Code-Wind Dir and Speed,n/a,*,
UR,Dir-Wind-Peak,deg,*,0.1
US,Speed-Wind,mph,*,
UT,Timing-Wind-Peak,min,*,

VB,Volt-Battery,volt,*,
VC,Power-Surplus,MW,*,
VE,Energy,MWh,*,
VG,Power-Pumped,MW,*,
VH,Timing-Power Generation,hr,*,
VJ,Energy-Pumped,MWh,*,
VK,Energy-Stor,MWh,*,dur2h
VL,Energy-Flow,MWh,*,dur2h
VM,Energy-Loss,MWh,*,dur2h
VP,Power-Pump Use,MW,*,
VQ,Energy-Pump Use,MWh,*,
VR,Energy-Potential,MWh,*,dur2h
VS,Energy-Station Load,MWh,*,
VT,Power-Total,MW,*,
VU,Code-Generator Status,n/a,*,
VW,Power-Station Load,MW,*,

WA,Conc-Nitrogen+Argon,ppm,*,
WC,Cond,umho/cm,*,
WD,Depth-Water-Piezometer,in,*,
WG,Pres-Total Dissolved Gas,in-hg,*,
WH,Conc-Hydrogen Sulfide,ppm,*,
WL,Conc-Suspended Sediment,ppm,*,
WO,Conc-Oxygen,ppm,*,
WP,pH,su,*,
WS,Conc-Salt,ppt,*,
WT,Turb,JTU,*,
WV,Speed-Water,ft/s,*,
WX,%-Oxygen Saturation,%,*,
WY,Conc-Chorophyll,ug/l,*,

XC,%-Sky Cover,%,*,10
XG,Count-Lightning-Grid Box,unit,*,
XL,Count-Lightning-Point,unit,*,
XP,Code-Past NWS Synoptic,n/a,*,
XR,%-Relative Humidity,%,*,
XU,Conc-Humidity,g/ft3,*,
XV,Dist-Visibility,mi,*,
XW,Code-Curr NWS Synoptic,n/a,*,

YA,Count-Periods Ab Crit Lvl,unit,*,
YC,Count-Random Tx,unit,*,
YF,Power-DCP Forward,W,*,
YR,Power-DCP Reflected,W,*,
YS,Count-DCP Tx,unit,*,
YT,Count-Per Since Rnd Tx,unit,*,
YV,Volt-Battery 2,volt,*,
YW,Irrad-Total,W/m2,*,
YY,Code-Gage Status Lvl 3,n/a,*,
